Ticker,Name,AssetClass,Sector,SEDOL,ISIN,Exchange
MSFT,MICROSOFT CORP,Equity,Information Technology,2588173,US5949181045,NASDAQ
AAPL,APPLE INC,Equity,Information Technology,2046251,US0378331005,NASDAQ
AMZN,AMAZON COM INC,Equity,Consumer Discretionary,2000019,US0231351067,NASDAQ
FB,FACEBOOK CLASS A INC,Equity,Communication,B7TL820,US30303M1027,NASDAQ
GOOG,ALPHABET INC CLASS C,Equity,Communication,BYY88Y7,US02079K1079,NASDAQ
GOOGL,ALPHABET INC CLASS A,Equity,Communication,BYVY8G0,US02079K3059,NASDAQ
V,VISA INC CLASS A,Equity,Information Technology,B2PZN04,US92826C8394,New York Stock Exchange Inc.
UNH,UNITEDHEALTH GROUP INC,Equity,Health Care,2917766,US91324P1021,New York Stock Exchange Inc.
MA,MASTERCARD INC CLASS A,Equity,Information Technology,B121557,US57636Q1040,New York Stock Exchange Inc.
MRK,MERCK & CO INC,Equity,Health Care,2778844,US58933Y1055,New York Stock Exchange Inc.
CSCO,CISCO SYSTEMS INC,Equity,Information Technology,2198163,US17275R1023,NASDAQ
ADBE,ADOBE INC,Equity,Information Technology,2008154,US00724F1012,NASDAQ
NFLX,NETFLIX INC,Equity,Communication,2857817,US64110L1061,NASDAQ
NVDA,NVIDIA CORP,Equity,Information Technology,2379504,US67066G1040,NASDAQ
PEP,PEPSICO INC,Equity,Consumer Staples,2681511,US7134481081,NASDAQ
CRM,SALESFORCE.COM INC,Equity,Information Technology,2310525,US79466L3024,New York Stock Exchange Inc.
COST,COSTCO WHOLESALE CORP,Equity,Consumer Staples,2701271,US22160K1051,NASDAQ
HD,HOME DEPOT INC,Equity,Consumer Discretionary,2434209,US4370761029,New York Stock Exchange Inc.
PYPL,PAYPAL HOLDINGS INC,Equity,Information Technology,BYW36M8,US70450Y1038,NASDAQ
KO,COCA-COLA,Equity,Consumer Staples,2206657,US1912161007,New York Stock Exchange Inc.
LLY,ELI LILLY,Equity,Health Care,2516152,US5324571083,New York Stock Exchange Inc.
ACN,ACCENTURE PLC CLASS A,Equity,Information Technology,B4BNMY3,IE00B4BNMY34,New York Stock Exchange Inc.
ABBV,ABBVIE INC,Equity,Health Care,B92SR70,US00287Y1091,New York Stock Exchange Inc.
AMGN,AMGEN INC,Equity,Health Care,2023607,US0311621009,NASDAQ
ORCL,ORACLE CORP,Equity,Information Technology,2661568,US68389X1054,New York Stock Exchange Inc.
TXN,TEXAS INSTRUMENT INC,Equity,Information Technology,2885409,US8825081040,NASDAQ
UNP,UNION PACIFIC CORP,Equity,Industrials,2914734,US9078181081,New York Stock Exchange Inc.
NKE,NIKE INC CLASS B,Equity,Consumer Discretionary,2640147,US6541061031,New York Stock Exchange Inc.
AMT,AMERICAN TOWER REIT CORP,Equity,Real Estate,B7FBFL2,US03027X1000,New York Stock Exchange Inc.
BA,BOEING,Equity,Industrials,2108601,US0970231058,New York Stock Exchange Inc.
AVGO,BROADCOM INC,Equity,Information Technology,BDZ78H9,US11135F1012,NASDAQ
LMT,LOCKHEED MARTIN CORP,Equity,Industrials,2522096,US5398301094,New York Stock Exchange Inc.
SBUX,STARBUCKS CORP,Equity,Consumer Discretionary,2842255,US8552441094,NASDAQ
QCOM,QUALCOMM INC,Equity,Information Technology,2714923,US7475251036,NASDAQ
CMCSA,COMCAST CORP CLASS A,Equity,Communication,2044545,US20030N1019,NASDAQ
TMO,THERMO FISHER SCIENTIFIC INC,Equity,Health Care,2886907,US8835561023,New York Stock Exchange Inc.
TSLA,TESLA INC,Equity,Consumer Discretionary,B616C79,US88160R1014,NASDAQ
BMY,BRISTOL MYERS SQUIBB,Equity,Health Care,2126335,US1101221083,New York Stock Exchange Inc.
UPS,UNITED PARCEL SERVICE INC CLASS B,Equity,Industrials,2517382,US9113121068,New York Stock Exchange Inc.
LOW,LOWES COMPANIES INC,Equity,Consumer Discretionary,2536763,US5486611073,New York Stock Exchange Inc.
INTU,INTUIT INC,Equity,Information Technology,2459020,US4612021034,NASDAQ
IBM,INTERNATIONAL BUSINESS MACHINES CO,Equity,Information Technology,2005973,US4592001014,New York Stock Exchange Inc.
SPGI,S&P GLOBAL INC,Equity,Financials,BYV2325,US78409V1044,New York Stock Exchange Inc.
ADP,AUTOMATIC DATA PROCESSING INC,Equity,Information Technology,2065308,US0530151036,NASDAQ
CCI,CROWN CASTLE INTERNATIONAL REIT CO,Equity,Real Estate,BTGQCX1,US22822V1017,New York Stock Exchange Inc.
BKNG,BOOKING HOLDINGS INC,Equity,Consumer Discretionary,BDRXDB4,US09857L1089,NASDAQ
MMM,3M,Equity,Industrials,2595708,US88579Y1010,New York Stock Exchange Inc.
VRTX,VERTEX PHARMACEUTICALS INC,Equity,Health Care,2931034,US92532F1003,NASDAQ
TJX,TJX INC,Equity,Consumer Discretionary,2989301,US8725401090,New York Stock Exchange Inc.
ISRG,INTUITIVE SURGICAL INC,Equity,Health Care,2871301,US46120E6023,NASDAQ
ABT,ABBOTT LABORATORIES,Equity,Health Care,2002305,US0028241000,New York Stock Exchange Inc.
ZTS,ZOETIS INC CLASS A,Equity,Health Care,B95WG16,US98978V1035,New York Stock Exchange Inc.
SYK,STRYKER CORP,Equity,Health Care,2853688,US8636671013,New York Stock Exchange Inc.
FISV,FISERV INC,Equity,Information Technology,2342034,US3377381088,NASDAQ
NOW,SERVICENOW INC,Equity,Information Technology,B80NXX8,US81762P1021,New York Stock Exchange Inc.
JNJ,JOHNSON & JOHNSON,Equity,Health Care,2475833,US4781601046,New York Stock Exchange Inc.
NOC,NORTHROP GRUMMAN CORP,Equity,Industrials,2648806,US6668071029,New York Stock Exchange Inc.
EQIX,EQUINIX REIT INC,Equity,Real Estate,BVLZX12,US29444U7000,NASDAQ
AMD,ADVANCED MICRO DEVICES INC,Equity,Information Technology,2007849,US0079031078,NASDAQ
HON,HONEYWELL INTERNATIONAL INC,Equity,Industrials,2020459,US4385161066,New York Stock Exchange Inc.
ITW,ILLINOIS TOOL INC,Equity,Industrials,2457552,US4523081093,New York Stock Exchange Inc.
FIS,FIDELITY NATIONAL INFORMATION SERV,Equity,Information Technology,2769796,US31620M1062,New York Stock Exchange Inc.
GPN,GLOBAL PAYMENTS INC,Equity,Information Technology,2712013,US37940X1028,New York Stock Exchange Inc.
BSX,BOSTON SCIENTIFIC CORP,Equity,Health Care,2113434,US1011371077,New York Stock Exchange Inc.
EW,EDWARDS LIFESCIENCES CORP,Equity,Health Care,2567116,US28176E1082,New York Stock Exchange Inc.
ECL,ECOLAB INC,Equity,Materials,2304227,US2788651006,New York Stock Exchange Inc.
ILMN,ILLUMINA INC,Equity,Health Care,2613990,US4523271090,NASDAQ
CHTR,CHARTER COMMUNICATIONS INC CLASS A,Equity,Communication,BZ6VT82,US16119P1084,NASDAQ
SHW,SHERWIN WILLIAMS,Equity,Materials,2804211,US8243481061,New York Stock Exchange Inc.
MMC,MARSH & MCLENNAN INC,Equity,Financials,2567741,US5717481023,New York Stock Exchange Inc.
AON,AON PLC CLASS A,Equity,Financials,B5BT0K0,GB00B5BT0K07,New York Stock Exchange Inc.
EL,ESTEE LAUDER INC CLASS A,Equity,Consumer Staples,2320524,US5184391044,New York Stock Exchange Inc.
MCO,MOODYS CORP,Equity,Financials,2252058,US6153691059,New York Stock Exchange Inc.
AXP,AMERICAN EXPRESS,Equity,Financials,2026082,US0258161092,New York Stock Exchange Inc.
DG,DOLLAR GENERAL CORP,Equity,Consumer Discretionary,B5B1S13,US2566771059,New York Stock Exchange Inc.
MO,ALTRIA GROUP INC,Equity,Consumer Staples,2692632,US02209S1033,New York Stock Exchange Inc.
LRCX,LAM RESEARCH CORP,Equity,Information Technology,2502247,US5128071082,NASDAQ
WM,WASTE MANAGEMENT INC,Equity,Industrials,2937667,US94106L1098,New York Stock Exchange Inc.
ROST,ROSS STORES INC,Equity,Consumer Discretionary,2746711,US7782961038,NASDAQ
SBAC,SBA COMMUNICATIONS REIT CORP CLASS,Equity,Real Estate,BZ6TS23,US78410G1040,NASDAQ
CNC,CENTENE CORP,Equity,Health Care,2807061,US15135B1017,New York Stock Exchange Inc.
ADSK,AUTODESK INC,Equity,Information Technology,2065159,US0527691069,NASDAQ
RTN,RAYTHEON,Equity,Industrials,2758051,US7551115071,New York Stock Exchange Inc.
EA,ELECTRONIC ARTS INC,Equity,Communication,2310194,US2855121099,NASDAQ
SYY,SYSCO CORP,Equity,Consumer Staples,2868165,US8718291078,New York Stock Exchange Inc.
ORLY,OREILLY AUTOMOTIVE INC,Equity,Consumer Discretionary,B65LWX6,US67103H1077,NASDAQ
AMAT,APPLIED MATERIAL INC,Equity,Information Technology,2046552,US0382221051,NASDAQ
WDAY,WORKDAY INC CLASS A,Equity,Information Technology,B8K6ZD1,US98138H1014,NASDAQ
MSCI,MSCI INC,Equity,Financials,B2972D2,US55354G1004,New York Stock Exchange Inc.
LULU,LULULEMON ATHLETICA INC,Equity,Consumer Discretionary,B23FN39,US5500211090,NASDAQ
SCHW,CHARLES SCHWAB CORP,Equity,Financials,2779397,US8085131055,New York Stock Exchange Inc.
KLAC,KLA CORP,Equity,Information Technology,2480138,US4824801009,NASDAQ
APH,AMPHENOL CORP CLASS A,Equity,Information Technology,2145084,US0320951017,New York Stock Exchange Inc.
EBAY,EBAY INC,Equity,Consumer Discretionary,2293819,US2786421030,NASDAQ
MAR,MARRIOTT INTERNATIONAL INC CLASS A,Equity,Consumer Discretionary,2210614,US5719032022,NASDAQ
VRSK,VERISK ANALYTICS INC,Equity,Industrials,B4P9W92,US92345Y1064,NASDAQ
DXCM,DEXCOM INC,Equity,Health Care,B0796X4,US2521311074,NASDAQ
MNST,MONSTER BEVERAGE CORP,Equity,Consumer Staples,BZ07BW4,US61174X1090,NASDAQ
LHX,L3HARRIS TECHNOLOGIES INC,Equity,Industrials,BK9DTN5,US5024311095,New York Stock Exchange Inc.
PAYX,PAYCHEX INC,Equity,Information Technology,2674458,US7043261079,NASDAQ
PSA,PUBLIC STORAGE REIT,Equity,Real Estate,2852533,US74460D1090,New York Stock Exchange Inc.
AZO,AUTOZONE INC,Equity,Consumer Discretionary,2065955,US0533321024,New York Stock Exchange Inc.
CSGP,COSTAR GROUP INC,Equity,Industrials,2262864,US22160N1090,NASDAQ
RMD,RESMED INC,Equity,Health Care,2732903,US7611521078,New York Stock Exchange Inc.
YUM,YUM BRANDS INC,Equity,Consumer Discretionary,2098876,US9884981013,New York Stock Exchange Inc.
MCD,MCDONALDS CORP,Equity,Consumer Discretionary,2550707,US5801351017,New York Stock Exchange Inc.
BLL,BALL CORP,Equity,Materials,2073022,US0584981064,New York Stock Exchange Inc.
SPLK,SPLUNK INC,Equity,Information Technology,B424494,US8486371045,NASDAQ
TWTR,TWITTER INC,Equity,Communication,BFLR866,US90184L1026,New York Stock Exchange Inc.
HLT,HILTON WORLDWIDE HOLDINGS INC,Equity,Consumer Discretionary,BYVMW06,US43300A2033,New York Stock Exchange Inc.
XLNX,XILINX INC,Equity,Information Technology,2985677,US9839191015,NASDAQ
IDXX,IDEXX LABORATORIES INC,Equity,Health Care,2459202,US45168D1046,NASDAQ
TT,TRANE TECHNOLOGIES PLC,Equity,Industrials,BK9ZQ96,IE00BK9ZQ967,New York Stock Exchange Inc.
VEEV,VEEVA SYSTEMS INC CLASS A,Equity,Health Care,BFH3N85,US9224751084,New York Stock Exchange Inc.
SQ,SQUARE INC CLASS A,Equity,Information Technology,BYNZGK1,US8522341036,New York Stock Exchange Inc.
ANSS,ANSYS INC,Equity,Information Technology,2045623,US03662Q1058,NASDAQ
CERN,CERNER CORP,Equity,Health Care,2185284,US1567821046,NASDAQ
SNPS,SYNOPSYS INC,Equity,Information Technology,2867719,US8716071076,NASDAQ
VFC,VF CORP,Equity,Consumer Discretionary,2928683,US9182041080,New York Stock Exchange Inc.
CI,CIGNA CORP,Equity,Health Care,BHJ0775,US1255231003,New York Stock Exchange Inc.
MSI,MOTOROLA SOLUTIONS INC,Equity,Information Technology,B5BKPQ4,US6200763075,New York Stock Exchange Inc.
CDNS,CADENCE DESIGN SYSTEMS INC,Equity,Information Technology,2302232,US1273871087,NASDAQ
ROK,ROCKWELL AUTOMATION INC,Equity,Industrials,2754060,US7739031091,New York Stock Exchange Inc.
BAX,BAXTER INTERNATIONAL INC,Equity,Health Care,2085102,US0718131099,New York Stock Exchange Inc.
BIIB,BIOGEN INC,Equity,Health Care,2455965,US09062X1037,NASDAQ
FLT,FLEETCOR TECHNOLOGIES INC,Equity,Information Technology,B4R28B3,US3390411052,New York Stock Exchange Inc.
CLX,CLOROX,Equity,Consumer Staples,2204026,US1890541097,New York Stock Exchange Inc.
TEAM,ATLASSIAN PLC CLASS A,Equity,Information Technology,BZ09BD1,GB00BZ09BD16,NASDAQ
USD,USD CASH,Cash,Cash and/or Derivatives,-,-,-
ANTM,ANTHEM INC,Equity,Health Care,BSPHGL4,US0367521038,New York Stock Exchange Inc.
ICE,INTERCONTINENTAL EXCHANGE INC,Equity,Financials,BFSSDS9,US45866F1049,New York Stock Exchange Inc.
HUM,HUMANA INC,Equity,Health Care,2445063,US4448591028,New York Stock Exchange Inc.
SPG,SIMON PROPERTY GROUP REIT INC,Equity,Real Estate,2812452,US8288061091,New York Stock Exchange Inc.
CMG,CHIPOTLE MEXICAN GRILL INC,Equity,Consumer Discretionary,B0X7DZ3,US1696561059,New York Stock Exchange Inc.
TDG,TRANSDIGM GROUP INC,Equity,Industrials,B11FJK3,US8936411003,New York Stock Exchange Inc.
HSY,HERSHEY FOODS,Equity,Consumer Staples,2422806,US4278661081,New York Stock Exchange Inc.
FAST,FASTENAL,Equity,Industrials,2332262,US3119001044,NASDAQ
SPOT,SPOTIFY TECHNOLOGY SA,Equity,Communication,BFZ1K46,LU1778762911,New York Stock Exchange Inc.
CTAS,CINTAS CORP,Equity,Industrials,2197137,US1729081059,NASDAQ
RNG,RINGCENTRAL INC CLASS A,Equity,Information Technology,BDZCRX3,US76680R2067,New York Stock Exchange Inc.
PANW,PALO ALTO NETWORKS INC,Equity,Information Technology,B87ZMX0,US6974351057,New York Stock Exchange Inc.
KEYS,KEYSIGHT TECHNOLOGIES INC,Equity,Information Technology,BQZJ0Q9,US49338L1035,New York Stock Exchange Inc.
MTD,METTLER TOLEDO INC,Equity,Health Care,2126249,US5926881054,New York Stock Exchange Inc.
CSX,CSX CORP,Equity,Industrials,2160753,US1264081035,NASDAQ
CHD,CHURCH AND DWIGHT INC,Equity,Consumer Staples,2195841,US1713401024,New York Stock Exchange Inc.
HCA,HCA HEALTHCARE INC,Equity,Health Care,B4MGBG6,US40412C1018,New York Stock Exchange Inc.
PG,PROCTER & GAMBLE,Equity,Consumer Staples,2704407,US7427181091,New York Stock Exchange Inc.
ALGN,ALIGN TECHNOLOGY INC,Equity,Health Care,2679204,US0162551016,NASDAQ
BMRN,BIOMARIN PHARMACEUTICAL INC,Equity,Health Care,2437071,US09061G1013,NASDAQ
INFO,IHS MARKIT LTD,Equity,Industrials,BD0Q558,BMG475671050,New York Stock Exchange Inc.
CPRT,COPART INC,Equity,Industrials,2208073,US2172041061,NASDAQ
PGR,PROGRESSIVE CORP,Equity,Financials,2705024,US7433151039,New York Stock Exchange Inc.
CDW,CDW CORP,Equity,Information Technology,BBM5MD6,US12514G1085,NASDAQ
CTXS,CITRIX SYSTEMS INC,Equity,Information Technology,2182553,US1773761002,NASDAQ
FTNT,FORTINET INC,Equity,Information Technology,B5B2106,US34959E1091,NASDAQ
ALXN,ALEXION PHARMACEUTICALS INC,Equity,Health Care,2036070,US0153511094,NASDAQ
DPZ,DOMINOS PIZZA INC,Equity,Consumer Discretionary,B01SD70,US25754A2015,New York Stock Exchange Inc.
TMUS,T MOBILE US INC,Equity,Communication,B94Q9V0,US8725901040,NASDAQ
AKAM,AKAMAI TECHNOLOGIES INC,Equity,Information Technology,2507457,US00971T1016,NASDAQ
GILD,GILEAD SCIENCES INC,Equity,Health Care,2369174,US3755581036,NASDAQ
SGEN,SEATTLE GENETICS INC,Equity,Health Care,2738127,US8125781026,NASDAQ
TFX,TELEFLEX INC,Equity,Health Care,2881407,US8793691069,New York Stock Exchange Inc.
DOCU,DOCUSIGN INC,Equity,Information Technology,BFYT7B7,US2561631068,NASDAQ
TRU,TRANSUNION,Equity,Industrials,BYMWL86,US89400J1079,New York Stock Exchange Inc.
AME,AMETEK INC,Equity,Industrials,2089212,US0311001004,New York Stock Exchange Inc.
INCY,INCYTE CORP,Equity,Health Care,2471950,US45337C1027,NASDAQ
YUMC,YUM CHINA HOLDINGS INC,Equity,Consumer Discretionary,BYW4289,US98850P1093,New York Stock Exchange Inc.
MKTX,MARKETAXESS HOLDINGS INC,Equity,Financials,B03Q9D0,US57060D1081,NASDAQ
OKTA,OKTA INC CLASS A,Equity,Information Technology,BDFZSP1,US6792951054,NASDAQ
VRSN,VERISIGN INC,Equity,Information Technology,2142922,US92343E1029,NASDAQ
ABC,AMERISOURCEBERGEN CORP,Equity,Health Care,2795393,US03073E1055,New York Stock Exchange Inc.
TWLO,TWILIO INC CLASS A,Equity,Information Technology,BD6P5Q0,US90138F1021,New York Stock Exchange Inc.
EFX,EQUIFAX INC,Equity,Industrials,2319146,US2944291051,New York Stock Exchange Inc.
VMC,VULCAN MATERIALS,Equity,Materials,2931205,US9291601097,New York Stock Exchange Inc.
WAT,WATER CORP,Equity,Health Care,2937689,US9418481035,New York Stock Exchange Inc.
XYL,XYLEM INC,Equity,Industrials,B3P2CN8,US98419M1009,New York Stock Exchange Inc.
ANET,ARISTA NETWORKS INC,Equity,Information Technology,BN33VM5,US0404131064,New York Stock Exchange Inc.
LUV,SOUTHWEST AIRLINES,Equity,Industrials,2831543,US8447411088,New York Stock Exchange Inc.
PAYC,PAYCOM SOFTWARE INC,Equity,Information Technology,BL95MY0,US70432V1026,New York Stock Exchange Inc.
TYL,TYLER TECHNOLOGIES INC,Equity,Information Technology,2909644,US9022521051,New York Stock Exchange Inc.
BURL,BURLINGTON STORES INC,Equity,Consumer Discretionary,BF311Y5,US1220171060,New York Stock Exchange Inc.
BR,BROADRIDGE FINANCIAL SOLUTIONS INC,Equity,Information Technology,B1VP7R6,US11133T1034,New York Stock Exchange Inc.
GWW,WW GRAINGER INC,Equity,Industrials,2380863,US3848021040,New York Stock Exchange Inc.
ZBRA,ZEBRA TECHNOLOGIES CORP CLASS A,Equity,Information Technology,2989356,US9892071054,NASDAQ
PODD,INSULET CORP,Equity,Health Care,B1XGNW4,US45784P1012,NASDAQ
XTSLA,BLK CSH FND TREASURY SL AGENCY,Money Market,Cash and/or Derivatives,-,US0669224778,-
MKC,MCCORMICK & CO NON-VOTING INC,Equity,Consumer Staples,2550161,US5797802064,New York Stock Exchange Inc.
ULTA,ULTA BEAUTY INC,Equity,Consumer Discretionary,B28TS42,US90384S3031,NASDAQ
JKHY,JACK HENRY AND ASSOCIATES INC,Equity,Information Technology,2469193,US4262811015,NASDAQ
GDDY,GODADDY INC CLASS A,Equity,Information Technology,BWFRFC6,US3802371076,New York Stock Exchange Inc.
DLTR,DOLLAR TREE INC,Equity,Consumer Discretionary,2272476,US2567461080,NASDAQ
TSCO,TRACTOR SUPPLY,Equity,Consumer Discretionary,2900335,US8923561067,NASDAQ
VAR,VARIAN MEDICAL SYSTEMS INC,Equity,Health Care,2927516,US92220P1057,New York Stock Exchange Inc.
NTAP,NETAPP INC,Equity,Information Technology,2630643,US64110D1046,NASDAQ
FDS,FACTSET RESEARCH SYSTEMS INC,Equity,Financials,2329770,US3030751057,New York Stock Exchange Inc.
ALNY,ALNYLAM PHARMACEUTICALS INC,Equity,Health Care,B00FWN1,US02043Q1076,NASDAQ
TER,TERADYNE INC,Equity,Information Technology,2884183,US8807701029,NASDAQ
EPAM,EPAM SYSTEMS INC,Equity,Information Technology,B44Z3T8,US29414B1044,New York Stock Exchange Inc.
VMW,VMWARE CLASS A INC,Equity,Information Technology,B23SN61,US9285634021,New York Stock Exchange Inc.
NVR,NVR INC,Equity,Consumer Discretionary,2637785,US62944T1051,New York Stock Exchange Inc.
ELS,EQUITY LIFESTYLE PROPERTIES REIT I,Equity,Real Estate,2563125,US29472R1086,New York Stock Exchange Inc.
BAH,BOOZ ALLEN HAMILTON HOLDING CORP C,Equity,Information Technology,B5367T7,US0995021062,New York Stock Exchange Inc.
IT,GARTNER INC,Equity,Information Technology,2372763,US3666511072,New York Stock Exchange Inc.
EXR,EXTRA SPACE STORAGE REIT INC,Equity,Real Estate,B02HWR9,US30225T1025,New York Stock Exchange Inc.
COUP,COUPA SOFTWARE INC,Equity,Information Technology,BD87XR1,US22266L1061,NASDAQ
SSNC,SS AND C TECHNOLOGIES HOLDINGS INC,Equity,Information Technology,B58YSC6,US78467J1007,NASDAQ
BFB,BROWN FORMAN CORP CLASS B,Equity,Consumer Staples,2146838,US1156372096,New York Stock Exchange Inc.
HAS,HASBRO INC,Equity,Consumer Discretionary,2414580,US4180561072,NASDAQ
FICO,FAIR ISAAC CORP,Equity,Information Technology,2330299,US3032501047,New York Stock Exchange Inc.
EXAS,EXACT SCIENCES CORP,Equity,Health Care,2719951,US30063P1057,NASDAQ
NBIX,NEUROCRINE BIOSCIENCES INC,Equity,Health Care,2623911,US64125C1099,NASDAQ
IQV,IQVIA HOLDINGS INC,Equity,Health Care,BDR73G1,US46266C1053,New York Stock Exchange Inc.
BKI,BLACK KNIGHT INC,Equity,Information Technology,BDG75V1,US09215C1053,New York Stock Exchange Inc.
TTD,TRADE DESK INC CLASS A,Equity,Information Technology,BD8FDD1,US88339J1051,NASDAQ
MASI,MASIMO CORP,Equity,Health Care,B1YWR63,US5747951003,NASDAQ
AMTD,TD AMERITRADE HOLDING CORP,Equity,Financials,2983154,US87236Y1082,NASDAQ
WST,WEST PHARMACEUTICAL SERVICES INC,Equity,Health Care,2950482,US9553061055,New York Stock Exchange Inc.
AVY,AVERY DENNISON CORP,Equity,Materials,2066408,US0536111091,New York Stock Exchange Inc.
EXPD,EXPEDITORS INTERNATIONAL OF WASHIN,Equity,Industrials,2325507,US3021301094,NASDAQ
LVS,LAS VEGAS SANDS CORP,Equity,Consumer Discretionary,B02T2J7,US5178341070,New York Stock Exchange Inc.
GGG,GRACO INC,Equity,Industrials,2380443,US3841091040,New York Stock Exchange Inc.
ROKU,ROKU INC CLASS A,Equity,Communication,BZ1LFG7,US77543R1023,NASDAQ
CGNX,COGNEX CORP,Equity,Information Technology,2208288,US1924221039,NASDAQ
IAC,IAC INTERACTIVE,Equity,Communication,B0F0F09,US44919P5089,NASDAQ
REGN,REGENERON PHARMACEUTICALS INC,Equity,Health Care,2730190,US75886F1075,NASDAQ
EXPE,EXPEDIA GROUP INC,Equity,Consumer Discretionary,B748CK2,US30212P3038,NASDAQ
ZEN,ZENDESK INC,Equity,Information Technology,BMH0MR7,US98936J1016,New York Stock Exchange Inc.
MPWR,MONOLITHIC POWER SYSTEMS INC,Equity,Information Technology,B01Z7J1,US6098391054,NASDAQ
DRI,DARDEN RESTAURANTS INC,Equity,Consumer Discretionary,2289874,US2371941053,New York Stock Exchange Inc.
ATUS,ALTICE USA INC CLASS A,Equity,Communication,BDRY7P9,US02156K1034,New York Stock Exchange Inc.
SIRI,SIRIUS XM HOLDINGS INC,Equity,Communication,BGLDK10,US82968B1035,NASDAQ
TECH,BIO TECHNE CORP,Equity,Health Care,BSHZ3Q0,US09073M1045,NASDAQ
HOLX,HOLOGIC INC,Equity,Health Care,2433530,US4364401012,NASDAQ
POOL,POOL CORP,Equity,Consumer Discretionary,2781585,US73278L1052,NASDAQ
GWRE,GUIDEWIRE SOFTWARE INC,Equity,Information Technology,B7JYSG3,US40171V1008,New York Stock Exchange Inc.
TTC,TORO,Equity,Industrials,2897040,US8910921084,New York Stock Exchange Inc.
NDSN,NORDSON CORP,Equity,Industrials,2641838,US6556631025,NASDAQ
PPG,PPG INDUSTRIES INC,Equity,Materials,2698470,US6935061076,New York Stock Exchange Inc.
SRPT,SAREPTA THERAPEUTICS INC,Equity,Health Care,B8DPDT7,US8036071004,NASDAQ
ALLE,ALLEGION PLC,Equity,Industrials,BFRT3W7,IE00BFRT3W74,New York Stock Exchange Inc.
CHRW,CH ROBINSON WORLDWIDE INC,Equity,Industrials,2116228,US12541W2098,NASDAQ
AZPN,ASPEN TECHNOLOGY INC,Equity,Information Technology,2051868,US0453271035,NASDAQ
TROW,T ROWE PRICE GROUP INC,Equity,Financials,2702337,US74144T1088,NASDAQ
ABMD,ABIOMED INC,Equity,Health Care,2003698,US0036541003,NASDAQ
CHE,CHEMED CORP,Equity,Health Care,2190084,US16359R1032,New York Stock Exchange Inc.
MOH,MOLINA HEALTHCARE INC,Equity,Health Care,2212706,US60855R1005,New York Stock Exchange Inc.
FFIV,F5 NETWORKS INC,Equity,Information Technology,2427599,US3156161024,NASDAQ
CABO,CABLE ONE INC,Equity,Communication,BZ07DS4,US12685J1051,New York Stock Exchange Inc.
ENTG,ENTEGRIS INC,Equity,Information Technology,2599700,US29362U1043,NASDAQ
OMC,OMNICOM GROUP INC,Equity,Communication,2279303,US6819191064,New York Stock Exchange Inc.
PTC,PTC INC,Equity,Information Technology,B95N910,US69370C1009,NASDAQ
LII,LENNOX INTERNATIONAL INC,Equity,Industrials,2442053,US5261071071,New York Stock Exchange Inc.
APD,AIR PRODUCTS AND CHEMICALS INC,Equity,Materials,2011602,US0091581068,New York Stock Exchange Inc.
CRL,CHARLES RIVER LABORATORIES INTERNA,Equity,Health Care,2604336,US1598641074,New York Stock Exchange Inc.
IONS,IONIS PHARMACEUTICALS INC,Equity,Health Care,BDJ0LS6,US4622221004,NASDAQ
HII,HUNTINGTON INGALLS INDUSTRIES INC,Equity,Industrials,B40SSC9,US4464131063,New York Stock Exchange Inc.
